,start_time,end_time,wav_file,emotion,val,act,dom
82,68.01,73.75,Ses01F_impro03_F014,xxx,4.0,3.3333,2.3333
83,74.2675,78.8425,Ses01F_impro03_F015,exc,4.6667,3.6667,3.0
84,79.035,81.0875,Ses01F_impro03_F016,hap,4.0,3.0,2.3333
85,82.0975,85.08,Ses01F_impro03_F017,neu,3.6667,2.6667,2.3333
86,85.1,88.0225,Ses01F_impro03_F018,neu,3.6667,3.0,2.0
87,88.08,89.5,Ses01F_impro03_F019,neu,3.6667,2.3333,2.0
88,91.235,92.615,Ses01F_impro03_F020,xxx,3.6667,3.0,2.3333
89,92.75,98.21,Ses01F_impro03_F021,hap,3.3333,3.6667,2.6667
90,99.7775,102.03,Ses01F_impro03_F022,neu,3.3333,2.6667,2.0
91,102.62,103.4625,Ses01F_impro03_F023,neu,3.0,2.3333,2.0
92,103.78,108.1825,Ses01F_impro03_F024,hap,4.3333,3.0,2.6667
93,110.23,114.16,Ses01F_impro03_F025,hap,4.3333,3.3333,3.3333
94,114.19,120.2,Ses01F_impro03_F026,hap,4.6667,4.0,3.0
95,3.24,5.46,Ses01F_impro03_M000,neu,4.0,3.0,2.6667
96,6.6,8.66,Ses01F_impro03_M001,neu,4.3333,2.6667,2.3333
97,10.53,13.84,Ses01F_impro03_M002,sur,4.3333,3.3333,2.6667
98,14.93,18.9075,Ses01F_impro03_M003,exc,5.0,4.6667,3.0
99,20.2532,22.83,Ses01F_impro03_M004,xxx,4.6667,4.0,2.3333
100,27.28,29.65,Ses01F_impro03_M005,xxx,4.0,3.3333,2.3333
101,34.25,36.34,Ses01F_impro03_M006,neu,4.0,2.6667,2.3333
102,37.7175,40.47,Ses01F_impro03_M007,hap,4.0,3.0,2.3333
103,42.09,43.41,Ses01F_impro03_M008,neu,4.0,2.6667,2.0
104,44.16,49.07,Ses01F_impro03_M009,neu,3.6667,2.3333,2.3333
105,49.61,52.43,Ses01F_impro03_M010,xxx,4.0,3.3333,3.0
106,52.92,56.85,Ses01F_impro03_M011,neu,3.6667,3.6667,2.6667
107,57.46,61.375,Ses01F_impro03_M012,xxx,4.3333,3.6667,2.6667
108,65.6425,68.44,Ses01F_impro03_M013,hap,4.6667,4.0,3.0
109,73.41,76.9975,Ses01F_impro03_M014,hap,4.3333,3.6667,2.6667
110,78.32,80.5,Ses01F_impro03_M015,hap,4.0,3.0,2.6667
111,80.7175,82.5225,Ses01F_impro03_M016,neu,3.6667,2.6667,2.6667
112,84.6925,87.36,Ses01F_impro03_M017,sur,3.6667,3.6667,2.3333
113,87.6425,89.08,Ses01F_impro03_M018,sur,3.0,2.6667,2.6667
114,89.12,93.91,Ses01F_impro03_M019,neu,3.0,3.0,2.3333
115,97.03,101.65,Ses01F_impro03_M020,neu,3.3333,3.0,2.6667
116,101.67,104.35,Ses01F_impro03_M021,neu,3.0,3.3333,2.6667
117,105.29,106.95,Ses01F_impro03_M022,exc,4.0,3.3333,2.6667
118,107.71,111.4,Ses01F_impro03_M023,hap,4.6667,4.3333,3.6667
119,117.36,119.58,Ses01F_impro03_M024,neu,3.6667,2.6667,2.3333
120,7.2455,11.64,Ses01F_impro04_F000,neu,3.0,3.0,3.0
121,11.7448,16.15,Ses01F_impro04_F001,neu,2.5,2.5,3.0
122,18.6,30.8976,Ses01F_impro04_F002,fru,2.5,3.5,3.0
123,35.009,37.8,Ses01F_impro04_F003,xxx,2.5,3.0,2.5
124,40.23,41.95,Ses01F_impro04_F004,xxx,2.5,2.5,2.0
125,43.35,45.7596,Ses01F_impro04_F005,neu,3.0,2.0,2.5
126,46.2735,49.83,Ses01F_impro04_F006,neu,3.0,3.5,3.5
127,50.11,54.31,Ses01F_impro04_F007,fru,3.0,3.5,4.0
128,54.37,55.67,Ses01F_impro04_F008,xxx,2.0,3.5,3.5
129,58.71,60.0937,Ses01F_impro04_F009,neu,2.5,2.5,2.5
130,60.6771,66.5275,Ses01F_impro04_F010,xxx,2.0,3.5,3.0
131,69.43,70.94,Ses01F_impro04_F011,xxx,2.5,3.0,3.0
132,72.13,74.73,Ses01F_impro04_F012,xxx,2.5,2.5,4.0
133,76.49,80.7269,Ses01F_impro04_F013,neu,3.0,3.5,3.5
134,85.49,86.98,Ses01F_impro04_F014,neu,2.5,3.0,2.5
135,87.2203,93.33,Ses01F_impro04_F015,xxx,2.0,4.0,3.5
136,97.41,101.0475,Ses01F_impro04_F016,fru,2.0,4.0,3.5
137,102.78,105.415,Ses01F_impro04_F017,fru,2.0,4.5,4.0
138,106.17,111.86,Ses01F_impro04_F018,fru,2.0,4.5,3.5
139,114.92,122.31,Ses01F_impro04_F019,fru,3.0,3.5,3.0
140,122.4,129.93,Ses01F_impro04_F020,xxx,2.0,3.0,3.5
141,133.74,137.44,Ses01F_impro04_F021,fru,2.0,2.0,3.0
142,138.13,139.89,Ses01F_impro04_F022,fru,2.0,2.0,2.5
143,148.55,152.85,Ses01F_impro04_F023,fru,2.0,2.5,3.0
144,153.18,155.2925,Ses01F_impro04_F024,fru,2.5,2.5,3.5
145,157.1625,159.7,Ses01F_impro04_F025,fru,2.5,2.5,3.0
146,161.0787,163.78,Ses01F_impro04_F026,fru,2.5,2.0,3.5
147,164.3925,167.565,Ses01F_impro04_F027,fru,2.5,2.0,3.0
148,170.83,172.84,Ses01F_impro04_F028,ang,2.0,3.5,3.5
149,175.27,178.43,Ses01F_impro04_F029,ang,1.5,4.0,4.0
150,180.3025,183.4875,Ses01F_impro04_F030,ang,1.5,3.5,4.0
151,184.47,188.87,Ses01F_impro04_F031,ang,1.5,3.0,3.5
152,189.12,192.02,Ses01F_impro04_F032,ang,2.0,3.5,3.5
153,193.5875,199.4325,Ses01F_impro04_F033,ang,1.5,3.5,4.5
154,2.7418,6.6575,Ses01F_impro04_M000,neu,3.0,2.5,2.5
155,10.46,12.13,Ses01F_impro04_M001,neu,3.0,2.5,2.0
156,15.64,18.9,Ses01F_impro04_M002,neu,3.0,2.5,3.0
157,26.91,28.71,Ses01F_impro04_M003,neu,3.0,2.5,2.5
158,30.88,35.5225,Ses01F_impro04_M004,neu,3.0,3.0,3.0
159,37.19,40.53,Ses01F_impro04_M005,neu,3.0,3.0,3.0
160,40.54,43.576,Ses01F_impro04_M006,neu,3.0,3.5,2.5
161,49.39,50.58,Ses01F_impro04_M007,neu,3.5,3.0,2.5
162,55.21,56.33,Ses01F_impro04_M008,neu,3.0,3.0,2.5
163,56.35,59.0245,Ses01F_impro04_M009,neu,3.0,3.0,3.0
164,59.8,61.55,Ses01F_impro04_M010,neu,3.0,2.5,2.0
165,65.97,69.77,Ses01F_impro04_M011,neu,3.0,3.0,2.5
166,70.38,72.7264,Ses01F_impro04_M012,neu,3.0,3.0,2.5
167,73.7473,77.15,Ses01F_impro04_M013,neu,3.0,2.0,3.0
168,80.1435,87.81,Ses01F_impro04_M014,neu,3.5,3.5,3.5
169,92.37,99.27,Ses01F_impro04_M015,neu,2.5,3.5,3.0
170,100.485,103.47,Ses01F_impro04_M016,neu,3.0,2.5,2.5
171,104.97,107.78,Ses01F_impro04_M017,neu,3.0,3.5,3.0
172,111.66,117.725,Ses01F_impro04_M018,neu,3.0,3.5,3.0
173,118.46,119.77,Ses01F_impro04_M019,neu,3.0,2.5,2.5
174,121.5,123.42,Ses01F_impro04_M020,neu,3.0,2.5,2.5
175,129.43,139.16,Ses01F_impro04_M021,neu,3.5,3.5,3.0
176,139.5219,141.8225,Ses01F_impro04_M022,neu,3.0,2.5,2.5
177,144.9125,149.51,Ses01F_impro04_M023,neu,2.5,2.5,2.0
178,151.84,154.03,Ses01F_impro04_M024,neu,3.0,2.5,3.0
179,154.6,157.8,Ses01F_impro04_M025,neu,3.0,3.5,3.5
180,158.95,161.35,Ses01F_impro04_M026,neu,3.5,3.0,3.0
181,162.12,164.7825,Ses01F_impro04_M027,neu,3.5,3.5,3.5
182,165.47,166.71,Ses01F_impro04_M028,neu,3.0,2.5,2.0
183,167.05,171.43,Ses01F_impro04_M029,fru,2.5,3.5,3.5
184,171.75,175.26,Ses01F_impro04_M030,fru,2.5,2.5,3.0
185,178.0033,180.865,Ses01F_impro04_M031,neu,3.0,2.5,2.5
186,182.82,185.54,Ses01F_impro04_M032,neu,2.5,2.0,1.5
187,186.12,187.4625,Ses01F_impro04_M033,xxx,2.5,3.5,2.0
188,188.01,190.71,Ses01F_impro04_M034,fru,2.5,2.0,2.0
189,191.28,195.13,Ses01F_impro04_M035,fru,2.0,3.5,3.0
190,200.215,202.0825,Ses01F_impro04_M036,xxx,2.5,3.0,3.5
191,4.24,5.23,Ses01F_impro05_F000,fru,4.0,2.0,1.5
192,5.26,7.16,Ses01F_impro05_F001,fru,2.0,2.5,2.5
193,7.35,8.85,Ses01F_impro05_F002,fru,2.5,2.5,3.5
194,9.2,13.02,Ses01F_impro05_F003,fru,2.0,3.0,3.5
195,13.04,22.74,Ses01F_impro05_F004,fru,2.0,3.5,3.5
196,25.35,26.76,Ses01F_impro05_F005,fru,2.5,3.0,3.0
197,28.24,29.91,Ses01F_impro05_F006,xxx,2.5,2.5,2.5
198,32.19,33.5,Ses01F_impro05_F007,fru,2.5,3.0,3.5
199,33.78,35.9,Ses01F_impro05_F008,ang,2.5,2.5,3.5
200,36.71,44.03,Ses01F_impro05_F009,ang,2.5,2.5,3.5
201,69.55,73.76,Ses01F_impro05_F010,xxx,2.0,4.0,3.5
202,73.87,75.5375,Ses01F_impro05_F011,ang,2.0,4.5,3.5
203,75.61,80.73,Ses01F_impro05_F012,ang,2.5,3.5,3.0
204,82.75,86.06,Ses01F_impro05_F013,xxx,2.0,2.5,3.0
205,99.52,102.9,Ses01F_impro05_F014,ang,1.5,4.0,4.0
206,103.005,118.5,Ses01F_impro05_F015,ang,1.5,4.5,4.5
207,118.53,122.44,Ses01F_impro05_F016,ang,1.5,4.5,4.0
208,127.485,136.85,Ses01F_impro05_F017,ang,1.5,5.0,4.5
209,137.715,140.11,Ses01F_impro05_F018,ang,1.5,4.0,4.0
210,140.225,145.6,Ses01F_impro05_F019,ang,1.5,4.0,4.5
211,149.365,153.8,Ses01F_impro05_F020,ang,1.5,4.5,4.5
212,155.6,160.36,Ses01F_impro05_F021,ang,1.5,4.5,4.5
213,160.41,163.7975,Ses01F_impro05_F022,ang,1.5,4.5,4.0
214,163.88,165.8,Ses01F_impro05_F023,ang,2.0,3.0,4.0
215,166.33,167.71,Ses01F_impro05_F024,ang,2.0,3.0,4.0
216,171.09,174.2,Ses01F_impro05_F025,ang,1.5,4.5,4.5
217,177.6025,179.09,Ses01F_impro05_F026,ang,2.0,3.5,3.5
218,179.22,183.845,Ses01F_impro05_F027,xxx,2.0,2.5,4.0
219,188.78,190.8975,Ses01F_impro05_F028,ang,2.0,3.0,4.0
220,195.38,199.33,Ses01F_impro05_F029,ang,1.5,3.0,3.5
221,202.86,206.17,Ses01F_impro05_F030,ang,2.0,3.0,3.5
222,3.61,5.19,Ses01F_impro05_M000,neu,4.0,2.5,2.0
223,5.21,6.44,Ses01F_impro05_M001,hap,4.0,2.5,2.0
224,6.6,7.71,Ses01F_impro05_M002,hap,4.0,2.5,2.0
225,8.32,9.8,Ses01F_impro05_M003,neu,4.0,2.5,2.0
226,12.26,13.78,Ses01F_impro05_M004,neu,3.5,1.5,2.0
227,21.84,25.9,Ses01F_impro05_M005,neu,3.5,2.5,2.0
228,25.99,27.7272,Ses01F_impro05_M006,neu,3.5,2.5,2.0
229,28.29,34.1425,Ses01F_impro05_M007,neu,3.5,2.5,2.0
230,34.7,36.52,Ses01F_impro05_M008,neu,3.0,2.5,2.0
231,36.91,42.76,Ses01F_impro05_M009,neu,2.5,2.5,2.0
232,43.86,49.97,Ses01F_impro05_M010,neu,2.5,2.5,2.0
233,49.97,70.26,Ses01F_impro05_M011,neu,2.5,2.5,2.0
234,70.38,73.14,Ses01F_impro05_M012,neu,2.5,2.0,1.5
235,73.55,74.99,Ses01F_impro05_M013,neu,2.5,2.0,1.5
236,75.03,76.48,Ses01F_impro05_M014,neu,2.5,2.5,1.5
237,80.22,83.2425,Ses01F_impro05_M015,neu,2.5,2.0,1.5
238,85.72,93.9575,Ses01F_impro05_M016,neu,2.5,2.5,2.0
239,94.005,100.4,Ses01F_impro05_M017,neu,2.5,2.5,2.5
240,100.55,103.68,Ses01F_impro05_M018,xxx,3.0,3.5,2.5
241,111.28,112.81,Ses01F_impro05_M019,neu,2.5,2.0,2.0
242,118.04,119.37,Ses01F_impro05_M020,neu,2.5,2.0,2.0
243,121.19,129.23,Ses01F_impro05_M021,xxx,2.5,2.5,1.5
244,131.02,133.25,Ses01F_impro05_M022,neu,2.5,2.0,2.0
245,136.19,143.5,Ses01F_impro05_M023,neu,2.5,3.5,2.5
246,144.85,151.16,Ses01F_impro05_M024,neu,2.5,3.0,2.5
247,151.335,152.71,Ses01F_impro05_M025,neu,2.5,2.5,2.0
248,152.8325,158.58,Ses01F_impro05_M026,neu,2.5,2.5,2.5
249,159.66,161.37,Ses01F_impro05_M027,neu,2.5,2.5,2.0
250,163.25,166.99,Ses01F_impro05_M028,neu,2.5,2.5,2.0
251,167.15,173.63,Ses01F_impro05_M029,neu,2.5,2.5,2.5
252,173.7325,178.2625,Ses01F_impro05_M030,neu,3.0,2.5,2.0
253,178.59,180.87,Ses01F_impro05_M031,neu,3.0,2.5,2.5
254,183.14,189.3875,Ses01F_impro05_M032,sur,3.0,2.5,2.0
255,190.23,196.9,Ses01F_impro05_M033,sur,2.5,3.0,2.0
256,198.66,205.17,Ses01F_impro05_M034,neu,2.5,2.5,2.5
257,205.63,211.94,Ses01F_impro05_M035,neu,2.5,2.0,1.5
258,14.7939,18.17,Ses01F_impro06_F000,xxx,3.5,2.0,3.0
259,24.02,25.69,Ses01F_impro06_F001,xxx,2.0,2.0,2.0
260,26.07,27.65,Ses01F_impro06_F002,sad,2.0,1.5,2.5
261,34.45,35.78,Ses01F_impro06_F003,neu,3.0,2.0,2.5
262,36.07,38.04,Ses01F_impro06_F004,neu,3.5,2.0,3.0
263,39.6025,46.29,Ses01F_impro06_F005,sad,2.0,2.0,4.0
264,47.34,59.38,Ses01F_impro06_F006,sad,3.5,3.0,4.0
265,59.4525,67.4525,Ses01F_impro06_F007,sad,3.5,3.0,4.0
266,70.22,80.13,Ses01F_impro06_F008,sad,2.5,3.5,3.5
267,80.16,87.74,Ses01F_impro06_F009,neu,2.5,3.0,3.5
268,87.83,93.67,Ses01F_impro06_F010,sad,2.0,2.5,3.5
269,101.83,116.91,Ses01F_impro06_F011,sad,2.0,3.0,4.0
270,117.07,126.04,Ses01F_impro06_F012,sad,2.0,3.5,4.5
271,132.9575,134.49,Ses01F_impro06_F013,sad,2.0,2.0,2.0
272,135.96,137.95,Ses01F_impro06_F014,sad,3.0,3.0,2.5
273,138.0685,141.05,Ses01F_impro06_F015,sad,2.0,2.0,2.5
274,141.84,149.4375,Ses01F_impro06_F016,neu,4.0,3.0,3.5
275,158.08,163.35,Ses01F_impro06_F017,xxx,4.0,3.0,3.5
276,167.64,174.84,Ses01F_impro06_F018,neu,4.0,3.0,3.5
277,176.35,178.01,Ses01F_impro06_F019,neu,2.5,2.0,2.5
278,182.56,197.73,Ses01F_impro06_F020,sad,2.5,3.0,4.0
279,197.755,214.34,Ses01F_impro06_F021,sad,2.0,3.0,4.0
280,217.5,222.41,Ses01F_impro06_F022,sad,4.0,3.0,3.5
281,223.52,227.55,Ses01F_impro06_F023,sad,2.5,2.0,2.5
282,229.08,235.98,Ses01F_impro06_F024,sad,1.5,2.0,3.0
283,237.53,256.48,Ses01F_impro06_F025,sad,3.0,3.5,4.5
284,266.55,275.31,Ses01F_impro06_F026,sad,3.0,3.0,3.5
285,275.38,281.6,Ses01F_impro06_F027,neu,2.0,2.0,3.5
286,282.01,311.14,Ses01F_impro06_F028,sad,3.0,3.5,4.0
287,11.46,14.74,Ses01F_impro06_M000,sad,2.5,2.0,3.0
288,18.49,24.91,Ses01F_impro06_M001,neu,2.5,3.0,3.5
289,25.12,26.56,Ses01F_impro06_M002,neu,2.5,2.0,3.0
290,28.97,35.02,Ses01F_impro06_M003,sad,2.5,2.0,3.5
291,56.17,57.49,Ses01F_impro06_M004,neu,3.0,3.0,2.5
292,86.96,88.63,Ses01F_impro06_M005,neu,3.0,2.0,2.5
293,107.78,109.27,Ses01F_impro06_M006,neu,3.0,2.0,2.5
294,125.47,127.19,Ses01F_impro06_M007,sad,3.0,2.0,2.5
295,134.4,136.49,Ses01F_impro06_M008,neu,3.0,2.5,2.5
296,137.09,138.44,Ses01F_impro06_M009,neu,3.0,2.5,2.5
297,144.09,145.68,Ses01F_impro06_M010,neu,3.0,2.5,3.0
298,155.07,158.38,Ses01F_impro06_M011,neu,3.0,2.0,3.0
299,165.61,168.1,Ses01F_impro06_M012,neu,2.5,2.5,2.5
300,174.39,177.15,Ses01F_impro06_M013,neu,3.0,2.5,2.5
301,219.73,221.03,Ses01F_impro06_M014,neu,3.0,2.5,2.0
302,255.35,257.31,Ses01F_impro06_M015,neu,3.0,3.0,2.5
303,262.99,266.175,Ses01F_impro06_M016,neu,3.0,2.5,2.5
304,308.24,310.01,Ses01F_impro06_M017,xxx,4.0,3.0,2.5
305,3.95,10.59,Ses01F_impro07_F000,exc,5.0,5.0,4.5
306,11.36,16.5575,Ses01F_impro07_F001,xxx,4.0,4.5,3.5
307,19.61,31.65,Ses01F_impro07_F002,exc,4.0,4.0,3.0
308,32.52,34.9,Ses01F_impro07_F003,exc,4.5,4.5,4.5
309,37.1625,42.49,Ses01F_impro07_F004,exc,3.0,3.5,3.0
310,42.955,45.885,Ses01F_impro07_F005,exc,5.0,4.5,4.5
311,46.28,55.41,Ses01F_impro07_F006,xxx,4.5,4.0,3.5
312,63.02,72.75,Ses01F_impro07_F007,xxx,4.0,4.0,3.5
313,73.505,80.78,Ses01F_impro07_F008,xxx,4.0,3.0,3.0
314,81.0275,83.305,Ses01F_impro07_F009,exc,4.0,3.0,2.5
315,84.51,88.31,Ses01F_impro07_F010,exc,5.0,4.5,4.0
316,89.56,94.815,Ses01F_impro07_F011,xxx,4.0,3.5,3.0
317,94.86,100.74,Ses01F_impro07_F012,exc,4.5,4.0,3.5
318,103.26,110.46,Ses01F_impro07_F013,exc,4.5,4.0,4.0
319,115.68,126.41,Ses01F_impro07_F014,xxx,4.0,3.5,3.5
320,127.43,130.3175,Ses01F_impro07_F015,xxx,4.5,4.0,3.0
321,133.3125,142.3625,Ses01F_impro07_F016,exc,4.5,3.5,3.0
322,2.97,4.78,Ses01F_impro07_M000,exc,3.5,3.0,2.0
323,7.5325,11.96,Ses01F_impro07_M001,exc,4.5,4.5,4.0
324,13.92,19.09,Ses01F_impro07_M002,exc,4.5,4.0,4.0
325,20.68,28.06,Ses01F_impro07_M003,exc,4.5,3.5,2.5
326,30.915,38.81,Ses01F_impro07_M004,exc,4.0,4.0,3.0
327,41.17,46.9975,Ses01F_impro07_M005,exc,4.5,4.5,3.5
328,47.11,52.8125,Ses01F_impro07_M006,exc,4.5,4.5,3.5
329,54.16,63.28,Ses01F_impro07_M007,exc,4.5,4.5,4.5
330,64.6275,67.24,Ses01F_impro07_M008,exc,4.0,3.0,3.0
331,67.725,74.0325,Ses01F_impro07_M009,exc,3.5,4.0,3.5
332,76.62,78.17,Ses01F_impro07_M010,xxx,3.5,3.5,2.5
333,78.84,81.36,Ses01F_impro07_M011,xxx,3.0,2.5,2.5
334,82.6575,87.1025,Ses01F_impro07_M012,neu,3.0,2.5,3.0
335,87.5875,90.65,Ses01F_impro07_M013,neu,4.0,2.5,2.5
336,94.29,99.37,Ses01F_impro07_M014,exc,4.0,4.5,3.0
337,99.9875,110.54,Ses01F_impro07_M015,exc,4.5,4.0,3.5
338,110.54,116.28,Ses01F_impro07_M016,xxx,4.5,4.0,3.0
339,116.28,119.8507,Ses01F_impro07_M017,exc,4.0,3.5,2.5
340,123.2575,128.04,Ses01F_impro07_M018,neu,4.0,3.0,3.0
341,128.54,141.685,Ses01F_impro07_M019,hap,4.5,4.0,3.0
342,6.21,9.32,Ses01F_script01_1_F000,fru,2.0,2.3333,2.3333
343,9.35,12.8955,Ses01F_script01_1_F001,xxx,2.0,2.3333,1.6667
344,14.3063,19.5526,Ses01F_script01_1_F002,sur,2.3333,2.3333,2.6667
345,22.32,24.6667,Ses01F_script01_1_F003,xxx,3.0,3.0,2.6667
346,35.3799,39.09,Ses01F_script01_1_F004,xxx,2.0,2.0,2.0
347,40.02,44.9688,Ses01F_script01_1_F005,neu,2.0,1.6667,2.0
348,46.95,52.32,Ses01F_script01_1_F006,xxx,1.6667,2.3333,3.3333
349,58.95,60.88,Ses01F_script01_1_F007,xxx,2.6667,3.6667,3.6667
350,67.6,70.67,Ses01F_script01_1_F008,xxx,2.0,2.3333,2.6667
351,78.3648,81.5611,Ses01F_script01_1_F009,fru,2.6667,2.6667,3.6667
352,100.14,102.3482,Ses01F_script01_1_F010,fru,2.6667,2.6667,3.0
353,104.29,108.7408,Ses01F_script01_1_F011,fru,2.3333,3.3333,3.6667
354,117.8228,129.51,Ses01F_script01_1_F012,fru,2.3333,3.0,4.0
355,134.01,141.95,Ses01F_script01_1_F013,xxx,2.3333,4.3333,3.6667
356,150.27,152.6736,Ses01F_script01_1_F014,fru,2.6667,1.6667,2.3333
357,156.1786,160.67,Ses01F_script01_1_F015,neu,3.0,2.3333,3.0
